,date,open_x,high_x,low_x,close_x,volume_x,market cap_x,open_y,high_y,low_y,close_y,volume_y,market cap_y,open,high,low,close,volume,market cap
1275,2019-02-02,107.47,110.65,106.76,110.43,2385157838.0,11560765573.0,1.01,1.01,1.0,1.0,3806913471.0,2026311240.0,3484.63,3523.29,3467.57,3521.06,5071623601.0,61675119055.0
1276,2019-02-03,110.49,110.83,106.56,107.49,2519334757.0,11254870706.0,1.0,1.01,0.9981,1.0,3756996124.0,2020950151.0,3516.14,3521.39,3447.92,3464.01,5043937584.0,60681847608.0
1277,2019-02-04,107.63,108.7,107.07,107.82,2491888675.0,11290969364.0,1.0,1.0,0.9976,0.9998,3770858317.0,2020505215.0,3467.21,3476.22,3442.59,3459.15,5332718886.0,60603083461.0
1278,2019-02-05,107.63,108.13,106.91,107.44,2515863999.0,11253035388.0,0.9984,1.0,0.9955,0.9995,3691717612.0,2019910268.0,3454.95,3478.15,3451.94,3466.36,5227549545.0,60735563490.0
1279,2019-02-06,107.57,107.57,102.93,104.92,2593048199.0,10990266833.0,0.9995,1.01,0.9929,1.0,4271302713.0,2023129504.0,3469.09,3469.09,3398.57,3413.77,5482196038.0,59821158612.0
1280,2019-02-07,104.84,106.06,104.41,104.54,2326764622.0,10951652648.0,1.0,1.0,0.9985,1.0,3569921563.0,2023283054.0,3414.93,3427.95,3394.22,3399.47,5004962683.0,59578075991.0
1281,2019-02-08,104.65,119.81,104.19,119.27,3656841347.0,12496945336.0,1.0,1.01,0.9868,1.0,6153689552.0,2025330851.0,3401.38,3695.61,3391.02,3666.78,7735623101.0,64270269953.0
1282,2019-02-09,119.21,120.69,118.0,119.43,2884650400.0,12515870173.0,1.0,1.01,0.9988,1.0,4749715865.0,2021998987.0,3671.59,3679.94,3646.56,3671.2,6158833645.0,64354732475.0
1283,2019-02-10,119.41,124.85,117.11,124.81,3148766590.0,13080881910.0,1.0,1.01,0.9999,1.0,4965113768.0,2029926999.0,3673.2,3695.04,3640.98,3690.19,6282256903.0,64694025951.0
1284,2019-02-11,124.87,124.87,120.31,121.3,3222473887.0,12714795026.0,1.0,1.01,1.0,1.0,5144064149.0,2027856142.0,3695.61,3695.61,3642.29,3648.43,6277056434.0,63968390250.0
1285,2019-02-12,121.18,123.47,119.6,122.57,3149576429.0,12849965121.0,1.0,1.01,0.9988,1.0,5105059634.0,2029502697.0,3642.75,3668.59,3618.56,3653.53,6480384532.0,64063755250.0
1286,2019-02-13,122.54,125.55,121.61,122.55,3386585799.0,12849605819.0,1.0,1.01,0.9995,1.0,5228665975.0,2029480830.0,3653.6,3669.75,3617.25,3632.07,6438903823.0,63694394519.0
1287,2019-02-14,122.42,124.45,121.33,121.39,3331701628.0,12729213675.0,1.0,1.01,1.0,1.01,4761618448.0,2034561938.0,3631.17,3646.26,3607.7,3616.88,6271044418.0,63434486052.0
1288,2019-02-15,121.45,123.66,121.37,122.1,3021741615.0,12805280766.0,1.01,1.01,1.0,1.0,5016161093.0,2028414752.0,3617.37,3647.8,3608.21,3620.81,6091952231.0,63509111125.0
1289,2019-02-16,122.4,124.13,122.3,123.26,2905833287.0,12928550184.0,1.0,1.01,0.9989,1.0,4506743621.0,2028056761.0,3615.27,3652.84,3615.27,3629.79,5934744052.0,63673369195.0
1290,2019-02-17,123.18,134.46,123.09,133.6,4236081130.0,14014695490.0,1.0,1.01,0.9925,1.0,5746888553.0,2023392364.0,3633.36,3680.54,3619.18,3673.84,7039512503.0,64453368779.0
1291,2019-02-18,133.03,147.69,133.0,146.1,5387525773.0,15327852479.0,1.0,1.01,0.9965,1.01,9082574152.0,2032482156.0,3671.37,3936.67,3669.98,3915.71,9908216640.0,68704389994.0
1292,2019-02-19,146.4,149.93,145.13,145.35,5310842625.0,15250901019.0,1.0,1.01,1.0,1.01,9304885086.0,2036854533.0,3911.66,4010.88,3908.15,3947.09,9933626655.0,69262673238.0
1293,2019-02-20,145.17,149.55,142.5,149.55,4500094965.0,15694462393.0,1.01,1.01,1.0,1.01,8091720630.0,2035565492.0,3946.68,4000.49,3926.25,3999.82,8693373948.0,70194350042.0
1294,2019-02-21,149.35,149.35,144.56,146.13,3995766856.0,15337145738.0,1.01,1.01,1.0,1.0,6765318432.0,2030389249.0,4000.26,4010.01,3940.11,3954.12,7775128102.0,69398333876.0
1295,2019-02-22,146.07,149.27,145.21,149.09,3731099284.0,15649961167.0,1.0,1.01,1.0,1.01,6931449681.0,2038722002.0,3952.41,4006.54,3950.82,4005.53,7826525254.0,70308555857.0
1296,2019-02-23,148.68,159.13,147.33,158.8,4519468458.0,16670632412.0,1.01,1.01,1.0,1.01,8122320488.0,2038700777.0,3998.92,4166.29,3968.73,4142.53,8922258316.0,72720867208.0
1297,2019-02-24,158.9,165.55,135.85,135.85,5957715043.0,14263873721.0,1.01,1.05,1.0,1.01,11405442806.0,2045808840.0,4145.46,4210.64,3793.71,3810.43,10794227451.0,66897483404.0
1298,2019-02-25,135.5,142.53,135.48,139.82,4914392068.0,14682597926.0,1.01,1.02,1.01,1.02,9138604588.0,2051885482.0,3807.0,3913.71,3807.0,3882.7,9318796067.0,68173204651.0
1299,2019-02-26,139.65,139.98,136.58,138.09,3791292839.0,14502464167.0,1.01,1.02,1.01,1.01,7159288173.0,2043385025.0,3878.7,3891.58,3837.99,3854.36,7931218996.0,67683296223.0
1300,2019-02-27,138.03,141.34,131.6,136.13,4469776860.0,14298070644.0,1.01,1.02,1.01,1.01,7569906987.0,2039742726.0,3857.48,3888.8,3787.06,3851.05,8301309684.0,67631949500.0
1301,2019-02-28,136.28,138.85,135.66,136.75,4535438953.0,14365118213.0,1.01,1.02,1.01,1.01,7911756336.0,2041809695.0,3848.26,3906.06,3845.82,3854.79,8399767798.0,67704774107.0
1302,2019-03-01,136.84,139.0,136.43,136.44,3756124824.0,14335957425.0,1.01,1.02,1.01,1.01,6628411253.0,2035341543.0,3853.76,3907.8,3851.69,3859.58,7661247975.0,67796965743.0
1303,2019-03-02,136.35,137.18,132.44,134.21,3747176425.0,14103698392.0,1.01,1.01,1.01,1.01,6623334103.0,2046557763.0,3855.32,3874.61,3832.13,3864.42,7578786076.0,67888255371.0
1304,2019-03-03,134.79,135.85,131.33,132.25,3454374053.0,13900679027.0,1.01,1.01,1.01,1.01,6148316202.0,2043328705.0,3862.27,3875.48,3836.91,3847.18,7253558152.0,67592376373.0
1305,2019-03-04,132.16,132.73,125.4,127.77,4008171341.0,13432896659.0,1.01,1.02,1.01,1.01,8129567032.0,2046154638.0,3845.09,3867.38,3733.75,3761.56,9029175788.0,66094551587.0
1306,2019-03-05,127.79,138.23,126.74,137.82,4764849990.0,14492117352.0,1.01,1.01,1.0,1.01,9791470887.0,2045218544.0,3759.83,3903.92,3745.18,3896.38,10174126415.0,68470655400.0
1307,2019-03-06,137.96,139.97,136.15,138.79,4589054219.0,14590867639.0,1.01,1.02,1.01,1.01,8754632122.0,2015364290.0,3897.08,3919.51,3871.46,3903.94,9175291529.0,68609885776.0
1308,2019-03-07,138.94,140.86,137.27,138.03,4339206292.0,14513398954.0,1.01,1.02,1.01,1.01,8964016754.0,2011160434.0,3903.38,3939.37,3894.11,3911.48,9584165519.0,68749421311.0
1309,2019-03-08,138.31,139.5,133.56,135.13,4678816794.0,14209542041.0,1.01,1.02,1.0,1.01,9170949582.0,2013254636.0,3913.23,3950.43,3875.23,3901.13,10638638944.0,68574579320.0
1310,2019-03-09,134.89,139.12,134.68,137.97,5011918715.0,14509873018.0,1.01,1.01,1.01,1.01,9012563866.0,2006176237.0,3894.55,3987.24,3892.39,3963.31,10796103518.0,69674508655.0
1311,2019-03-10,138.18,138.27,135.69,136.76,4578438499.0,14384860876.0,1.01,1.01,1.0,1.01,7993146408.0,2011853490.0,3966.17,3966.17,3924.38,3951.6,9713267607.0,69475297370.0
1312,2019-03-11,136.85,137.35,133.1,133.83,4689807419.0,14079044648.0,1.01,1.01,1.01,1.01,8754662156.0,2013884109.0,3953.74,3966.38,3889.24,3905.23,10125901903.0,68666928025.0
1313,2019-03-12,134.01,135.27,130.94,134.44,4709988000.0,14144929392.0,1.01,1.01,1.0,1.01,8193056943.0,2009529080.0,3903.76,3926.89,3863.56,3909.16,9809887079.0,68743000581.0
1314,2019-03-13,134.61,134.61,132.72,133.26,4265162099.0,14022610219.0,1.01,1.02,1.01,1.01,7861726433.0,2016486636.0,3913.05,3926.6,3891.9,3906.72,9469184841.0,68706700381.0
1315,2019-03-14,133.2,135.18,132.75,133.71,4476532147.0,14071628064.0,1.01,1.02,1.01,1.01,8089597848.0,2021198680.0,3905.58,3946.5,3901.3,3924.37,10480789570.0,69024696307.0
1316,2019-03-15,133.57,138.4,133.57,137.69,4506861856.0,14492364551.0,1.01,1.01,1.01,1.01,8024364516.0,2019386958.0,3926.66,3968.54,3914.02,3960.91,9394210605.0,69675002377.0
1317,2019-03-16,137.91,144.56,137.91,142.4,4839003569.0,14989691491.0,1.01,1.02,1.0,1.01,9333467997.0,2023624450.0,3963.9,4077.04,3961.66,4048.73,9856166973.0,71227967573.0
1318,2019-03-17,142.24,142.37,139.32,140.0,3827157729.0,14739201597.0,1.01,1.02,1.01,1.01,7070867589.0,2020136779.0,4047.72,4054.12,4006.41,4025.23,8221625400.0,70821939585.0
1319,2019-03-18,140.1,142.27,138.84,139.37,4551739879.0,14675181094.0,1.01,1.01,1.01,1.01,8604028178.0,2023596102.0,4029.97,4071.56,4009.12,4032.51,9646954186.0,70958165407.0
1320,2019-03-19,139.25,140.99,139.14,140.52,4251488129.0,14797612389.0,1.01,1.02,1.01,1.01,8243478388.0,2039364772.0,4032.69,4082.22,4023.81,4071.19,9344919956.0,71647703828.0
1321,2019-03-20,140.48,140.95,138.31,140.69,4664134462.0,14817151375.0,1.02,1.02,1.01,1.01,9474331302.0,2032419228.0,4070.79,4089.46,4031.11,4087.48,10175916388.0,71942444088.0
1322,2019-03-21,140.48,141.0,135.86,136.64,5087247796.0,14392427839.0,1.01,1.02,1.01,1.01,10022422933.0,2034791375.0,4083.95,4097.36,4005.15,4029.33,10831212662.0,70926226882.0
1323,2019-03-22,136.56,138.79,136.23,137.18,4490899266.0,14451740115.0,1.01,1.01,1.01,1.01,8043069056.0,2026517620.0,4028.51,4053.91,4021.54,4023.97,9252935969.0,70840048102.0
1324,2019-03-23,137.04,139.39,136.91,138.24,4436568613.0,14565143357.0,1.01,1.01,1.01,1.01,8252465265.0,2035564495.0,4022.71,4049.88,4015.96,4035.83,9578850549.0,71056017910.0
1325,2019-03-24,138.32,138.38,136.31,136.99,4266845458.0,14434995337.0,1.01,1.01,1.0,1.01,7789146127.0,2032100364.0,4035.16,4040.7,4006.19,4022.17,9144851065.0,70823042992.0
1326,2019-03-25,137.08,137.7,133.49,135.03,4480516753.0,14230733149.0,1.01,1.01,0.998,1.01,9042276853.0,2035968594.0,4024.11,4038.84,3934.03,3963.07,10359818883.0,69789872373.0
1327,2019-03-26,135.05,135.46,133.76,135.46,4499271679.0,14277816266.0,1.01,1.01,1.0,1.01,9075098633.0,2041600212.0,3969.23,3985.08,3944.75,3985.08,10707678815.0,70184147203.0
1328,2019-03-27,135.45,141.08,135.34,140.99,5228240093.0,14862394451.0,1.01,1.02,1.01,1.01,10893307729.0,2052994600.0,3984.24,4087.07,3977.81,4087.07,10897131934.0,71987847571.0
1329,2019-03-28,141.01,141.01,138.43,139.42,4163212475.0,14698609599.0,1.01,1.02,1.0,1.01,8064353737.0,2050152763.0,4087.58,4094.9,4040.27,4069.11,9353915899.0,71678998915.0
1330,2019-03-29,139.34,142.55,138.05,142.5,5125602702.0,15025361637.0,1.01,1.01,0.9952,0.9985,9802241562.0,2025447734.0,4068.3,4113.5,4034.1,4098.37,10918665557.0,72202088875.0
1331,2019-03-30,142.36,149.61,141.03,142.09,5144662127.0,14984615423.0,0.9974,1.05,0.9933,1.0,9083798415.0,2029560141.0,4092.14,4296.81,4053.91,4106.66,9732688060.0,72355190645.0
1332,2019-03-31,142.14,142.19,140.7,141.51,4249050197.0,14925533137.0,1.0,1.0,0.998,1.0,8108743211.0,2029986705.0,4105.46,4113.02,4094.1,4105.4,9045122443.0,72339379036.0
1333,2019-04-01,141.47,142.73,140.74,141.83,4611999536.0,14960828861.0,1.0,1.01,0.9977,1.0,9569263475.0,2044790317.0,4105.36,4164.95,4096.9,4158.18,10157794171.0,73269368747.0
1334,2019-04-02,141.84,165.23,141.64,163.96,9826645698.0,17297572365.0,1.0,1.03,0.9923,1.01,21843762437.0,2058622343.0,4156.92,4905.95,4155.32,4879.88,21315047816.0,85986009273.0
1335,2019-04-03,164.01,178.32,157.32,161.46,10622456246.0,17035703564.0,1.01,1.04,1.0,1.01,26557549335.0,2083736155.0,4879.96,5307.0,4876.62,4973.02,22899891582.0,87655288145.0
1336,2019-04-04,161.43,164.93,155.24,158.05,7953123529.0,16678477300.0,1.01,1.01,1.0,1.01,19847220123.0,2086183477.0,4971.31,5063.16,4836.79,4922.8,18251810240.0,86778727821.0
1337,2019-04-05,158.02,167.22,157.44,165.51,7531316908.0,17468192986.0,1.0,1.01,0.9996,1.01,16216708300.0,2091887834.0,4922.81,5053.51,4919.49,5036.68,16837325387.0,88796118650.0
1338,2019-04-06,165.51,172.52,161.8,165.95,7167016221.0,17516082778.0,1.01,1.01,0.998,1.0,16693450474.0,2086940761.0,5036.79,5205.82,4992.22,5059.82,16929795194.0,89212733450.0
1339,2019-04-07,165.98,175.21,164.93,174.53,7596176020.0,18424576820.0,1.0,1.01,1.0,1.0,16782653244.0,2090015279.0,5062.79,5235.19,5050.41,5198.9,16655416140.0,91674230186.0
1340,2019-04-08,174.45,184.38,174.16,180.26,9304964610.0,19031640376.0,1.0,1.02,0.9998,1.01,17972924418.0,2158728024.0,5199.84,5318.84,5148.21,5289.77,17154113634.0,93286365973.0
1341,2019-04-09,180.22,180.25,175.09,176.11,7632529578.0,18596496042.0,1.01,1.02,1.01,1.01,14315304509.0,2212375022.0,5289.92,5289.92,5167.42,5204.96,14722104361.0,91799330425.0
1342,2019-04-10,176.07,183.13,175.23,177.34,7856924879.0,18728058767.0,1.01,1.02,0.9999,1.0,15995091262.0,2271407886.0,5204.11,5421.65,5193.38,5324.55,15504590933.0,93918439274.0
1343,2019-04-11,177.34,177.49,162.32,165.5,7859383417.0,17479876008.0,1.0,1.02,1.0,1.01,17391967979.0,2318990462.0,5325.08,5354.23,5017.3,5064.49,16555616019.0,89341168457.0
1344,2019-04-12,165.34,166.13,161.03,164.74,6237185309.0,17401765647.0,1.01,1.01,1.0,1.01,13546700426.0,2425813372.0,5061.2,5103.27,4955.85,5089.54,13675206312.0,89792633045.0
1345,2019-04-13,164.62,166.36,163.01,164.51,4959301561.0,17380468169.0,1.01,1.01,1.0,1.01,10655745799.0,2434771925.0,5088.85,5127.12,5061.59,5096.59,10823289598.0,89925574875.0
1346,2019-04-14,164.48,168.59,162.78,167.84,4846298303.0,17734050269.0,1.01,1.01,1.0,1.01,9870255987.0,2431637598.0,5095.76,5184.02,5053.57,5167.72,10391952498.0,91188595341.0
1347,2019-04-15,167.9,168.82,159.56,161.57,5672311824.0,17074367783.0,1.01,1.02,0.9989,1.0,12810459909.0,2461221437.0,5167.32,5196.61,5024.07,5067.11,12290155061.0,89422237603.0
1348,2019-04-16,161.53,167.67,160.89,167.62,5180105341.0,17715913572.0,1.0,1.01,0.9973,1.01,10983003413.0,2501559972.0,5066.58,5238.95,5055.19,5235.56,11618660197.0,92404613297.0
1349,2019-04-17,167.55,168.94,165.5,166.95,5596102715.0,17647086048.0,1.01,1.01,1.0,1.01,11369931706.0,2541510568.0,5236.14,5274.28,5219.21,5251.94,12438480677.0,92702617458.0
1350,2019-04-18,166.91,175.37,166.67,173.81,6971581464.0,18374913022.0,1.01,1.01,1.0,1.0,12499290660.0,2561734880.0,5251.48,5319.99,5250.51,5298.39,13256489918.0,93532402741.0
1351,2019-04-19,173.79,173.98,170.62,173.71,6541053061.0,18366130180.0,1.0,1.01,1.0,1.01,12376436010.0,2582526477.0,5298.15,5336.68,5233.34,5303.81,13780238655.0,93638345002.0
1352,2019-04-20,173.72,176.71,171.79,173.75,6142567812.0,18373023202.0,1.01,1.01,1.0,1.01,11106675016.0,2580691185.0,5304.16,5358.49,5295.88,5337.89,13169647522.0,94248717444.0
1353,2019-04-21,173.72,174.42,167.43,170.05,6005571688.0,17983602095.0,1.01,1.01,1.0,1.01,12526292374.0,2601017107.0,5335.88,5359.93,5257.34,5314.53,13731844223.0,93847052256.0
1354,2019-04-22,170.02,173.07,168.73,171.87,6094878077.0,18179292263.0,1.01,1.01,1.0,1.01,12392918470.0,2627691194.0,5312.49,5422.69,5280.28,5399.37,14601631648.0,95354207776.0
1355,2019-04-23,172.01,176.85,170.9,171.45,7097827092.0,18136462572.0,1.01,1.01,0.9975,1.01,13668552021.0,2698944300.0,5399.37,5633.8,5389.41,5572.36,15867308108.0,98417387004.0
1356,2019-04-24,171.35,171.57,161.98,165.83,7351304156.0,17544029659.0,1.01,1.02,1.0,1.01,15689022306.0,2843517618.0,5571.51,5642.04,5418.26,5464.87,17048033399.0,96530038144.0
1357,2019-04-25,165.91,166.51,153.85,154.46,6820332362.0,16343573973.0,1.01,1.02,0.9853,0.9928,13786916955.0,2842830013.0,5466.52,5542.24,5181.34,5210.52,15330283408.0,92046492864.0
1358,2019-04-26,154.58,158.03,152.09,156.35,7505283355.0,16545462357.0,0.9942,0.9966,0.9742,0.9911,15229200868.0,2821503163.0,5210.3,5383.63,5177.37,5279.35,16812108040.0,93272287960.0
1359,2019-04-27,156.27,160.59,155.62,158.43,5863109118.0,16768575998.0,0.9914,0.9973,0.9892,0.9948,10698521526.0,2831886955.0,5279.47,5310.75,5233.64,5268.29,13111274675.0,93086156556.0
1360,2019-04-28,158.5,159.57,157.13,157.3,5379894433.0,16650076837.0,0.9947,1.0,0.9923,0.9939,10548623452.0,2829388044.0,5271.75,5326.23,5255.68,5285.14,12819992056.0,93391244395.0
1361,2019-04-29,157.29,158.33,153.19,155.2,6053776253.0,16430642271.0,0.9939,1.0,0.993,1.0,12221464798.0,2835764600.0,5284.86,5311.27,5216.49,5247.35,13735490672.0,92737510865.0
1362,2019-04-30,155.17,162.43,155.17,162.17,6275803460.0,17170110493.0,1.0,1.01,0.9981,1.01,12702033347.0,2851502734.0,5247.73,5363.26,5224.19,5350.73,13878964574.0,94573826827.0
1363,2019-05-01,162.19,164.06,159.66,160.82,5789172433.0,17029616915.0,1.01,1.01,1.0,1.0,11389167590.0,2800146869.0,5350.91,5418.0,5347.65,5402.7,13679528236.0,95501110091.0
1364,2019-05-02,160.85,162.94,160.06,162.12,6044171062.0,17169962760.0,1.0,1.01,0.9986,1.0,12403603820.0,2782770293.0,5402.42,5522.26,5394.22,5505.28,14644460907.0,97330112147.0
1365,2019-05-03,162.08,170.07,161.08,167.95,7299410672.0,17789626262.0,1.0,1.01,0.9971,1.0,16697196560.0,2783727234.0,5505.55,5865.88,5490.2,5768.29,18720780006.0,101986240859.0
