,date,open,high,low,close,volume,market cap
294,"Mar 30, 2022",47456.9,47655.15,46746.21,47062.66,29333883962.0,894116777852.0
295,"Mar 29, 2022",47100.44,48022.29,47100.44,47465.73,31397059069.0,901733146417.0
296,"Mar 28, 2022",46821.85,48086.84,46690.2,47128.01,36362175703.0,895273041065.0
297,"Mar 27, 2022",44505.36,46827.55,44437.29,46820.49,28160889722.0,889385706663.0
298,"Mar 26, 2022",44349.86,44736.0,44166.28,44500.83,16950455995.0,845283757076.0
299,"Mar 25, 2022",43964.55,44999.49,43706.29,44348.73,30574413034.0,842351457245.0
300,"Mar 24, 2022",42886.65,44131.85,42726.16,43960.93,31042992291.0,834943671214.0
301,"Mar 23, 2022",42364.38,42893.51,41877.51,42892.96,25242943069.0,814620088889.0
302,"Mar 22, 2022",41074.1,43124.71,40948.28,42358.81,32004652376.0,804437952236.0
303,"Mar 21, 2022",41246.13,41454.41,40668.04,41078.0,24615543271.0,780074755650.0
304,"Mar 20, 2022",42191.41,42241.16,41004.76,41247.82,20127946682.0,783260570384.0
305,"Mar 19, 2022",41794.65,42316.55,41602.67,42190.65,19664853187.0,801124017583.0
306,"Mar 18, 2022",40944.84,42195.74,40302.4,41801.15,34421564942.0,793688176484.0
307,"Mar 17, 2022",41140.84,41287.54,40662.87,40951.38,22009601093.0,777515183730.0
308,"Mar 16, 2022",39335.57,41465.45,39022.35,41143.93,39616916192.0,781131586213.0
309,"Mar 15, 2022",39664.25,39794.63,38310.21,39338.79,23934000868.0,746821744421.0
310,"Mar 14, 2022",37846.32,39742.5,37680.73,39666.76,24322159070.0,753013859090.0
311,"Mar 13, 2022",38884.72,39209.35,37728.14,37849.66,17300745310.0,718481905386.0
312,"Mar 12, 2022",38794.46,39308.6,38772.54,38904.01,14616450657.0,738459914964.0
313,"Mar 11, 2022",39439.97,40081.68,38347.43,38794.97,26364890465.0,736353069777.0
314,"Mar 10, 2022",41974.07,42004.73,38832.94,39437.46,31078064711.0,748513363763.0
315,"Mar 09, 2022",38742.82,42465.67,38706.09,41982.93,32284121034.0,796787661849.0
316,"Mar 08, 2022",38059.9,39304.44,37957.39,38737.27,25776583476.0,735156346355.0
317,"Mar 07, 2022",38429.3,39430.23,37260.2,38062.04,28546143503.0,722305696828.0
318,"Mar 06, 2022",39404.2,39640.18,38211.65,38419.98,19745229902.0,729062407067.0
319,"Mar 05, 2022",39148.45,39566.34,38777.04,39400.58,16975917450.0,747638613405.0
320,"Mar 04, 2022",42458.14,42479.61,38805.85,39137.6,28516271427.0,742617908335.0
321,"Mar 03, 2022",43925.2,44021.58,41914.75,42451.79,24967782593.0,805466458785.0
322,"Mar 02, 2022",44357.62,45077.58,43432.85,43924.12,29183112630.0,833361543695.0
323,"Mar 01, 2022",43194.5,44793.6,42952.58,44354.64,32479047645.0,841491170716.0
324,"Feb 28, 2022",37706.0,43760.46,37518.21,43193.23,35690014104.0,819414782676.0
325,"Feb 27, 2022",39098.7,39778.94,37268.98,37709.78,23450127612.0,715351995828.0
326,"Feb 26, 2022",39213.08,40005.35,38702.53,39105.15,17467554129.0,741789694059.0
327,"Feb 25, 2022",38333.75,39630.32,38111.34,39214.22,26545599159.0,743827806938.0
328,"Feb 24, 2022",37278.57,38968.84,34459.22,38332.61,46383802093.0,727072550320.0
329,"Feb 23, 2022",38285.28,39122.39,37201.82,37296.57,21849073843.0,707390766255.0
330,"Feb 22, 2022",37068.77,38359.85,36488.93,38286.03,25493150450.0,726121533658.0
331,"Feb 21, 2022",38423.21,39394.44,36950.48,37075.28,29280402798.0,703124071472.0
332,"Feb 20, 2022",40118.1,40119.89,38112.81,38431.38,18340576452.0,728812385562.0
333,"Feb 19, 2022",40026.02,40418.88,39713.06,40122.15,13736557863.0,760839429984.0
